680,1.93,1.89,1.99,2.24,1.71,1.60,5.83,9.22,8.25,1.47,1.46,1.49,11.14,22.19,8.82,65.01,52.83,45.60,7.18,7.23,7.09,1.72,7.35,37.74,30.28,29.94,277.00
685,1.72,1.64,1.70,1.91,1.52,1.37,5.41,8.62,7.57,1.79,1.94,2.14,9.40,20.41,7.86,60.15,49.11,42.40,9.90,8.94,8.54,1.54,8.22,32.93,26.37,26.24,260.00
690,1.67,1.53,1.55,1.70,1.48,1.29,5.04,8.07,7.03,1.74,2.00,2.34,8.65,19.10,7.78,56.04,46.28,40.02,11.47,9.79,8.77,1.71,7.93,29.65,23.88,23.90,242.00
695,1.43,1.27,1.27,1.39,1.26,1.05,4.57,7.39,6.35,1.02,1.20,1.42,6.75,16.79,6.30,50.92,42.24,36.48,8.88,7.26,6.41,1.10,5.70,25.19,20.10,20.33,223.00
700,1.29,1.10,1.09,1.18,1.13,0.91,4.12,6.71,5.72,1.14,1.35,1.61,5.69,15.13,5.67,46.26,38.58,33.28,3.05,2.59,2.26,0.28,2.23,21.69,17.40,17.42,202.00
705,1.19,0.99,0.96,1.03,1.05,0.81,3.77,6.16,5.25,3.32,4.10,5.04,4.87,13.82,5.15,42.60,35.59,30.84,22.04,17.03,15.02,3.65,12.43,19.28,15.29,15.64,187.00
710,1.08,0.88,0.83,0.88,0.96,0.71,3.46,5.63,4.80,4.49,5.58,6.98,4.29,12.63,4.91,38.85,32.76,28.30,42.79,33.69,29.39,7.54,24.24,17.36,13.62,14.34,167.00
715,0.96,0.76,0.71,0.74,0.85,0.61,3.08,5.03,4.29,2.05,2.51,3.19,3.54,11.39,4.31,35.09,29.61,25.65,14.40,12.02,10.22,2.34,8.74,14.74,11.68,12.21,152.00
720,0.88,0.68,0.62,0.64,0.78,0.54,2.73,4.46,3.80,0.49,0.57,0.71,3.03,10.32,3.99,31.73,26.89,23.33,1.88,1.68,1.42,0.05,1.39,12.86,10.31,10.65,136.00
725,0.81,0.61,0.54,0.54,0.72,0.48,2.47,4.02,3.43,0.24,0.27,0.30,2.62,9.21,3.67,28.77,24.53,21.23,1.60,1.50,1.23,0.04,1.23,11.28,9.11,9.43,125.00
730,0.77,0.56,0.49,0.49,0.68,0.44,2.25,3.66,3.12,0.21,0.23,0.26,2.28,8.89,3.43,25.76,22.17,19.29,1.42,1.31,1.10,0.04,1.10,9.97,8.03,8.34,113.00
735,0.75,0.54,0.46,0.46,0.67,0.43,2.06,3.36,2.86,0.21,0.21,0.23,1.94,7.50,3.19,23.16,20.02,17.41,1.05,1.01,0.84,0.03,0.84,8.88,7.13,7.52,103.00
740,0.73,0.51,0.43,0.42,0.65,0.40,1.90,3.09,2.64,0.24,0.24,0.28,1.70,6.71,2.95,21.30,18.45,16.31,1.23,1.16,0.97,0.03,0.94,7.78,6.31,6.73,93.00
745,0.68,0.47,0.39,0.37,0.61,0.37,1.75,2.85,2.43,0.24,0.24,0.28,1.50,6.11,2.75,18.55,16.09,14.21,1.76,1.59,1.35,0.02,1.23,7.04,5.67,6.08,84.00
750,0.69,0.47,0.39,0.37,0.62,0.38,1.62,2.65,2.26,0.21,0.20,0.21,1.36,5.40,2.63,17.74,15.62,14.04,0.74,0.79,0.65,0.02,0.68,6.30,5.11,5.52,75.00
755,0.64,0.43,0.35,0.33,0.59,0.35,1.54,2.51,2.14,0.17,0.24,0.17,1.16,4.80,2.43,14.74,13.10,11.55,0.52,0.67,0.13,0.01,0.52,5.55,4.55,5.00,66.00
760,0.68,0.46,0.38,0.35,0.62,0.39,1.45,2.37,2.02,0.21,0.32,0.21,4.91,8.70,7.14,12.93,11.69,10.39,4.10,4.82,4.22,0.01,4.60,10.15,9.06,9.47,58.00
765,0.69,0.47,0.39,0.36,0.64,0.41,1.32,2.15,1.83,0.22,0.26,0.19,0.95,4.01,2.19,13.63,12.42,11.28,0.46,0.61,0.10,0.00,0.45,4.50,3.74,4.08,51.00
770,0.61,0.40,0.33,0.31,0.55,0.33,1.17,1.89,1.61,0.17,0.16,0.15,1.50,4.09,2.71,10.43,9.43,8.51,0.99,1.25,0.68,0.00,1.04,4.81,4.04,4.43,46.00
775,0.52,0.33,0.28,0.26,0.47,0.26,0.99,1.61,1.38,0.12,0.12,0.10,0.89,3.30,2.00,9.67,8.96,8.24,0.43,0.79,0.16,0.00,0.45,3.72,3.14,3.39,41.00
780,0.43,0.27,0.21,0.19,0.40,0.21,0.81,1.32,1.12,0.09,0.09,0.05,0.68,2.82,1.80,8.07,7.39,7.02,0.00,0.58,0.00,0.00,0.00,3.28,2.75,3.17,37.00
